name,angular,artistic,attention-grabbing,attractive,bad,boring,calm,capitals,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,monospace,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Wellfleet-Regular,44.35,35.76,50.69,65.39,22.05,41.76,74.54,0,69.75,35.51,39.52,4.3,37.59,25.47,9.87,44.84,60.25,93.14,67.04,87,68.94,49.84,9.34,84.9,49.68,0,33.98,55.52,80.81,78.57,23.09,54.08,71.09,62.36,36.64,67.82,61.13
Tinos,33.37,15.72,26.85,51.29,11.06,36.32,87.86,0,65.39,4.14,15.1,4.24,42.79,10.57,9.8,19.69,91.83,94.21,72.27,96.6,68.82,40.39,9.34,96.49,29.67,0,9.35,21.11,88.02,89.13,12.81,82.22,48.32,42.13,60.41,63.77,45.79
AdventPro-SemiBold,32.4,26.56,47.66,46.91,37.05,60.32,82.09,0,63.36,22.45,27.57,4.3,35.49,25.46,9.72,31.7,66.99,81.68,66.09,82.53,52.55,43.02,9.34,80.1,38.54,0,32.85,32.11,9.73,67.14,27.88,78.04,53.38,28.78,51.55,55.61,40.3
GFSNeohellenic-Italic,74.69,47.87,32.46,60.28,23.61,38.31,93.42,0,60.59,27.58,26.59,4.35,53.81,30.17,9.72,34.52,64.46,82.37,83.03,97.68,70.46,56.52,91.83,80.59,54.64,0,45.84,31.52,75.05,80.76,53.47,87.87,34.28,38.32,82.71,39.09,40.89
CantoraOne-Regular,22.36,38.6,52.24,65.78,21.68,48.8,77.59,0,70.87,15.21,31.5,4.51,33.44,22.53,9.58,38.76,78.82,91.1,80.68,82.02,68.19,60.73,9.32,87.98,47.77,0,30.16,54.14,9.47,64.58,26.3,63.07,66.9,39.3,32.5,78.68,46.12
GillSansStd,20.48,14.79,36.41,50.28,7.05,46.9,91.16,0,58.51,3.58,10.75,4.3,35.13,11.76,9.43,14.31,82.09,87.14,79.16,91.92,48.86,39.7,9.34,91.14,33.98,0,24.55,28.17,9.06,84.7,17.08,78.67,54.42,22.64,53.84,52.19,44.37
NanumGothicCoding-Bold,20.92,38.91,45.75,51.22,32.44,71.55,73.29,0,61.44,46.83,38.89,4.45,36.04,40.3,9.43,42.87,61.49,86.33,66.02,74.51,56.92,40.69,9.34,67.82,39.7,100,43.79,43.84,10.2,46.92,23.43,62.05,60.88,42.29,30.72,70.56,47.06
Sevillana-Regular,68.08,72.84,53.97,73.61,48.76,57.36,71.46,0,82.83,62.11,85.61,84.26,60.62,58.14,9.37,77.32,35.84,82.51,87.28,81.12,65.75,70.62,9.74,42.27,81.7,0,93.49,60.3,13.03,44.21,64.72,81.11,29.45,69.98,83.22,62.14,21.98
BubblerOne,51.45,53.75,18.43,27.57,44.56,84.04,89.77,0,49.93,46.77,38.94,4.3,40.93,45.26,9.33,43.03,60.11,74.69,65.71,87.31,45.19,43.02,9.34,61.28,60.77,0,39.74,25.26,10.32,59.46,37.03,93.97,24.02,34.25,100,43.8,36.85
LifeSavers-Bold,50.42,54.34,45.06,53.27,29.84,46.24,81.62,0,74.79,38.56,50.02,5.21,46.53,43.76,9.31,42.5,47.65,91.68,83.64,88.7,64.03,60.86,9.04,66.59,52.97,0,55.26,31.08,81.12,69.32,39.7,82.27,40.05,54.48,64.82,64.04,51.72
Rambla-Regular,21.6,14.59,35.95,48.85,17.83,49.53,85.78,0,55.6,18.12,19.49,4.3,37.86,13.35,9.11,28.51,72.03,90.11,78.42,87.52,56.24,40.46,9.34,86.34,43.33,0,31.87,38.28,9.73,63.43,13.1,74.04,51.85,24.98,51.77,53.82,43.61
Rokkitt,23.78,21.08,31.91,52.17,17.65,47.17,98.76,0,62.79,4.56,17.01,4.3,44.14,9.28,9,19.65,86.94,89.7,72.08,98.68,60.84,39.17,9.34,76.82,28.24,0,18.73,30.23,81.9,78.71,13.48,82.6,40.07,25.51,61.65,54.95,44.6
Rokkitt-Light,24.64,19.57,16.6,34.53,29.22,70.62,96.55,0,48.98,0,15.13,4.27,45.21,11.97,9,9.69,90.76,67.75,60.62,96.62,53.27,33.35,9.34,73.34,17.45,0,19.48,13.15,81.73,79.1,16.8,95.07,15.95,19.44,88.22,15.84,45.27
Alegreya-BoldItalic,79.5,70.87,70.27,100,20.39,11.17,71.96,0,100,27.3,65.96,4.52,42.39,30.34,8.93,68.69,72.02,91.28,84.06,86.68,90.62,81.67,91.83,88.96,75.63,0,62.65,63.84,85.6,79.38,59.15,72.29,63.21,61.87,35.48,87.06,41.08
UbuntuMono-Italic,79.59,46.44,41.24,51.61,31.81,62.81,84.58,0,64.66,50.83,42.81,4.84,54.15,46.44,8.91,43.4,52.27,87.74,77.79,83.79,62.74,53.89,91.73,65.79,65.74,100,52.53,44.08,9.73,61.3,62.84,81.18,37.6,46.04,61.99,64.69,46.81
BadScript-Regular,88.39,71.67,47.02,71.13,42.23,13.31,81.03,0,75.11,49.22,56.88,6.51,62.8,48.42,8.73,81.68,45.15,75.83,87,89.5,82.82,66.2,91.6,58.43,65.16,0,97.65,45.32,10.93,86.3,78.01,87.91,23.88,63.2,80.49,57.72,37.83
PTSerif-BoldItalic,81.67,56.04,70.71,84.77,23.27,11.67,71.72,0,88.22,28.76,49.97,4.49,40.6,27.17,8.71,62.02,75.49,96.74,83.06,88.35,91.39,65.47,91.35,90.2,67.53,0,54.89,63.69,86.66,99.92,51.57,66.52,63.82,60.84,27.76,87.06,54.94
Puritan-Bold,24.18,26.78,46.58,57.77,15.67,47.82,81.26,0,65.06,17.74,25.75,4.3,38.36,16.48,8.68,31.05,82.45,90.85,78.2,87.83,64.15,47.15,9.34,86.36,48.94,0,24.1,37.75,9.1,71.22,25.09,71.01,60.38,29.18,42.86,65.58,43.77
AnonymousPro,32.3,26.97,23.9,38.13,26.34,74.86,88.14,0,47.55,12.03,21.88,4.45,41.66,27.87,8.5,25.31,77.03,86.4,72.16,90.3,42.54,21.99,9.34,78.69,35.25,100,28.15,11.73,72.7,59.07,27.75,84.94,36.24,37.15,68.05,44.73,53.16
Inconsolata-Regular,29.07,21.89,23.37,43.16,38.28,79.84,91.73,0,43.64,7.98,26.05,4.45,39.55,31.49,8.5,20.15,67.1,78.62,64.83,88.13,38.15,28.59,9.34,69.3,20.53,0,31.07,6.92,10.79,76.36,30.71,85.31,33.74,32.02,74.03,13.69,46.89
Voltaire,29.96,27.54,37.16,47.69,28.37,56.38,86.92,0,62.12,28.25,24.89,4.3,46.95,27.68,8.44,29.05,67.66,89.77,80.27,85.17,54.08,45.32,9.34,77.44,36.88,0,30.66,30.98,9.35,67.39,27.9,83.14,51.38,28.56,55,52.45,34.8
RopaSans-Regular,22.83,21.78,34.77,36.49,22.11,57.74,88.17,0,53.89,19.47,16.41,4.3,40.88,17.96,8.28,23.72,65.54,86.73,71.89,89.34,56.28,34.9,9.34,82.23,26.81,0,19.25,14.58,9.88,80.15,20.35,77.37,46.32,21.44,58.17,53.14,40.9
Strait-Regular,31.66,21.91,31.17,36.27,39.53,58.57,85.68,0,61.62,22.05,13.28,4.3,40.96,19.31,8.28,20.55,71.81,81.48,65,88.06,44.1,32.98,9.32,83.18,34.67,0,23.37,35.13,9.88,67.15,19.6,76.62,45.87,35.37,60.14,43.02,38.26
RacingSansOne-Regular,75.24,39.84,72.75,77.19,39.95,31.54,63.94,0,71.46,46.67,46.33,4.67,36.65,31.63,8.23,52.59,58.59,85.26,66.2,81.8,66.94,55.93,91.69,80.08,53.45,0,41.23,60.79,11.65,57.41,64.6,54.99,92.12,53.84,9.88,89.4,56.38
Cantarell-BoldOblique,83.17,46.34,72.1,70.27,36.02,28.48,71.63,0,70.91,26.27,48.77,6.6,45.55,42.69,8.11,64.32,53.71,86.16,75.81,85.78,70.4,68.84,91.81,82.54,61.12,0,46.55,55.08,9.94,72.65,70.69,66.64,66.25,53.23,36.05,76.17,58.56
TitilliumWeb-ThinItalic,67.94,31.8,19.85,15.66,32.46,71.15,86.2,0,43.53,33.67,17.4,6.12,47.42,29.77,8.11,24.56,51.08,73.31,60.65,84.75,42.69,20.37,91.73,53.71,15.01,0,33.13,15.45,9.78,83.11,61.31,95.23,12.33,24.86,87.72,0,38.65
LeagueGothic,17.18,42.43,36.47,39.35,39.07,77.61,73.66,0,42.15,37.53,43.12,4.3,35.84,33.55,8.09,37.53,58.89,78.74,55.87,71.06,52.05,21.8,9.28,50.03,53.41,0,32.33,31.43,9.61,58.88,25.83,62.01,58.4,49.33,45.09,58.17,24.3
Muli-Light,35.11,9.76,19.68,28.4,17.29,72.03,92.81,0,53.96,12,3.88,4.3,42.34,16.64,8.04,18.33,80.8,89.46,74.55,89.56,44.85,23.25,9.34,77.79,18.04,0,7.97,10.62,9.7,76.19,16.95,92.47,30.49,0,69.5,33.36,49.94
Share-BoldOSF,32.67,29.24,59.22,60.25,14.78,51.81,70.07,0,59.28,34.94,29.84,4.3,32.16,17.48,7.97,36.65,60.24,90.18,73.35,86.37,58.7,35.44,9.34,78.88,44.55,0,32.81,46.26,9.63,58.52,18.06,55.27,68.44,38.99,30.36,73.39,45.7
ShareTech-Regular,42.39,33.32,36.9,36.21,28.76,67.24,85.25,0,58.7,23.17,26.3,4.3,42.61,20.91,7.97,38.58,59.97,80.85,65.16,90.66,48.18,24.5,9.34,75.25,50.8,0,30.76,35.73,9.88,59.93,20.99,73.37,46.87,34.57,58.71,51.97,37.95
CenturyGothic,25.23,11.45,24.4,36.22,24.12,66.69,93.95,0,28.54,10.19,14.55,4.3,25.93,15.64,7.93,18.5,72.22,90.04,68.23,87.92,34.43,34.79,9.34,82.17,24.95,0,19.42,14.4,9.93,79.51,13.22,92.43,41.26,11.75,63.08,54.25,53.42
Asap-Regular,25.09,15.07,19.03,49.17,17.8,60.18,84.49,0,62.29,9.11,20.55,4.3,42.27,17.63,7.89,22.24,79.46,83.73,73.17,88.24,55.92,37.83,9.34,83.18,30.34,0,24.12,25.36,9.32,83.17,21.37,75.25,52.97,22.27,54.03,64.8,48.08
Signika-Light,23.61,19.71,33.56,37.98,23.32,53.16,92.33,0,57.89,8.66,7.06,4.3,47.55,12.45,7.85,11.88,88.09,87.03,70.71,92.12,50.28,32.76,9.32,81,27.3,0,18.96,7.63,10.06,73.94,24.48,88.71,32.88,22.4,61.05,51.55,41.57
SourceSansPro-Semibold,20.38,9.95,52.45,53.72,14.4,33.12,78.52,0,59.1,16.08,12.95,4.3,37.03,12,7.85,24.14,93.53,92.23,81.82,90,57.57,45.54,9.32,86.79,34.21,0,16.13,25.53,9.77,72.02,17.43,68.31,60.61,31.34,40.61,71.26,49.37
Thabit,31.65,22.59,16.64,15.17,32.42,98.33,88.84,0,44.53,2.63,23.7,4.37,37.41,22.72,7.85,22.45,75.92,73.25,66.95,92.8,16.76,29.64,9.34,80.97,14.05,100,26.28,15.97,87.47,73.76,18.43,88.46,26.6,23.69,76.07,33.58,53.15
UbuntuCondensed-Regular,26.78,28.36,31.21,44.65,24.93,50.82,91.87,0,58.46,17.39,15.84,4.3,41.47,19.31,7.85,24.49,76.1,87.41,74.24,89.09,60.76,35.67,9.32,81.75,44.1,0,31.42,25.48,9.73,71.74,27.19,77.25,54.21,19.91,55.66,50.67,39.52
Andada-Italic,71.75,59.73,57.97,76.91,15.12,9.45,81.45,0,91.72,22.72,45.64,3.71,48.44,20.16,7.78,54.74,62.45,93.09,89.96,94.27,83.69,67.89,91.73,83.61,70.28,0,57.43,61.8,86.36,83.66,54.55,77.08,48.66,54.61,53.68,82.36,47.31
Rosario-Bold,21.43,33.05,54.31,60.53,22.14,36.27,70.2,0,61.14,29.1,34.35,4.3,31.26,13,7.71,39.39,73.29,91.72,77.49,87.21,65.02,49.22,9.36,82.92,46.23,0,23.73,44.94,9.47,55.03,17.43,63.53,63.15,34.8,35.91,75.56,46.83
CabinCondensed,16.04,9.64,36.27,51.52,16.24,72.32,88.18,0,61.64,13.6,11.45,4.3,40.51,15.04,7.69,20.82,81.46,85.67,77.27,90.58,59.82,43.93,9.34,88.83,18.9,0,12.75,19,9.43,72.53,13.31,77.62,57.34,22.05,52.28,60.56,37.87
CabinCondensed-Medium,15.75,14.14,41.31,56.25,15.82,55.85,82.13,0,61.62,14.75,13.33,4.3,40.26,13.05,7.69,14.33,79.92,91.67,76.5,89.91,62.49,47.29,9.35,92.42,27.95,0,14.92,26.36,9.77,67.31,0,73.86,58.9,22.42,47.11,61.57,42.27
QuattrocentoSans-Italic,63.92,35.07,35.37,48.88,28.37,50.2,89.7,0,70.02,21.04,20.73,4.23,46.21,28.31,7.62,40.66,71.8,84.53,77.95,92.38,64.29,54.86,91.76,82.51,43.79,0,25.44,19.01,10.88,83.23,53.71,93.34,36.76,18.45,73.88,50.72,47.36
LucidaSansStd,37.49,17.41,35.5,47.27,17.21,47.56,86.87,0,65.52,24.59,13.42,4.3,29.47,15.27,7.58,20.13,73.13,84.17,73.59,91.92,58.94,40.88,9.34,91.94,22.94,0,25.76,24.79,9.21,79.8,21.4,67.91,54.6,30.16,48.57,58.59,56.14
OldStandardTT-Regular,30.56,37.58,34.12,49.21,6.66,55.37,83.43,0,68.74,0.19,16.32,4.24,64.44,19.13,7.55,25.11,84.41,87.68,73.32,97.1,62.38,43.59,9.34,86.23,36.02,0,21.73,24.55,87.33,86.18,18.59,87.22,42.53,35.03,65.96,50.94,43.63
SourceCodePro-Black,24.33,41.41,60.39,59.25,35.39,66.54,57.52,0,57.68,49.79,52.37,4.45,29.13,39.04,7.54,44.23,61.56,83.37,72.32,76.46,52.17,42.98,9.31,63.91,36.91,100,42.31,44.97,11.45,50.36,33.16,59.81,76.32,60.02,22.73,81.94,64.03
UbuntuMono-Bold,34.52,34.94,51.97,57.31,36.4,77.3,65.55,0,58.78,48.49,43.69,4.45,35.04,49.35,7.54,49.76,60.32,86.15,61.38,69.09,47.91,37.29,9.34,55.98,50.66,100,49.07,49.65,10.2,36.19,40.17,59.91,60.51,56.77,21.34,55.58,49.36
Acme-Regular,26.48,32.19,53.55,62.69,13.32,41.52,75.72,0,64.08,26.8,28.06,4.3,41.28,13.43,7.46,38.43,73.39,91.8,80.55,89.3,61.98,47.21,9.34,89.24,42.18,0,36.56,42.21,9.43,59.17,20.8,64.95,64.78,34.69,34.05,76.23,45.18
Roboto-Regular,8.36,7.23,38.86,53.05,14.22,50.12,84.04,0,61.29,5.53,12.49,4.3,35.79,10.77,7.46,14.72,82.16,88.88,73.38,91.89,59.67,33.95,9.34,93.46,20.14,0,0,24.39,9.88,76.58,14.1,79.43,53.64,17.55,47.99,58.73,53.45
Signika-Semibold,21.35,23.4,57.49,58.81,13.71,48.53,70.5,0,64.13,17.57,22.49,4.3,41.87,12.99,7.46,34.85,86.03,92.9,76.66,86.91,67.57,41.28,9.32,91.69,43.56,0,24.54,39.93,9.33,61.59,19.6,62.86,64.16,31.67,31.2,78.97,47.41
Share-BoldItalicOSF,60.5,31.75,58.68,57,23.45,41.24,70.22,0,69.19,37.43,29.56,4.23,34.49,19.11,7.45,36.46,67.59,89.6,80.1,85.97,71.29,42.9,91.69,81.15,47.99,0,33.57,51.6,9.63,62.32,45.81,54.95,66.64,30.7,27.45,81.06,45.93
Telex-Regular,20.18,14.08,38.34,53.95,18.27,51.51,83.93,0,62.55,13.72,13.65,4.3,39.59,12.67,7.32,29.64,80.46,90.49,79.51,87.23,58.01,49.7,9.35,89.67,27.27,0,22.45,34.26,9.73,66.7,13.54,77.08,53.87,24.75,50.55,55.5,51.16
ArchivoNarrow-Regular,4.67,14.97,26.7,40.63,23.83,51.75,89.53,0,50.7,16.66,14.29,4.3,38.16,14.94,7.3,15.39,80.97,84.36,72.51,85.6,52.81,37.14,9.35,82.83,30.33,0,14.1,16.47,9.43,81.39,19.83,79.53,53.6,17.92,58.14,61.15,37.13
RobotoCondensed-Regular,19.45,15.1,40.72,52.43,17.6,43.34,84.95,0,61.97,10.22,7,4.3,39.07,11.54,7.3,15.95,78.76,88.8,75.4,91.97,64.8,41.24,9.34,88.3,36.25,0,14.66,31.28,9.88,72.18,13.16,77.84,57.5,22.01,46.88,60.72,42.77
Futura-Medium,39.88,25.29,50.6,58.02,20.79,56.43,74.14,0,59.45,17.68,9.81,4.3,29.51,21.16,7.27,29.53,78.55,97.55,75.23,88.94,62.45,54.08,9.34,93.59,35.01,0,25.13,46.36,9.13,59.14,12.8,70.53,67.06,25.39,38.56,64.7,51.45
BenchNine-Regular,41.03,27.93,30.69,35.24,32.67,91.8,91.63,0,61.03,17.12,29.88,4.3,46.93,24.98,7.23,22.26,81.32,74.8,65.47,90.52,44.2,39,9.32,61.85,19.48,0,30.43,19.38,8.76,67.32,35.53,81.13,44.94,23.94,64.13,35.43,22.12
CrimsonText-Semibold,27.19,27.4,51.3,65.64,0,44.01,83.55,0,73.81,6.61,12.96,4.67,45.63,0,7.22,28.82,91.71,91.43,80.97,96.45,69.27,60.7,9.34,91.41,47.38,0,26.9,37.75,86.04,85.22,22.03,83.61,54.16,43.28,50.09,64.96,46.25
MavenProBlack,24.7,28.58,65.92,61.96,31.79,61.75,66.91,0,56.05,32.71,41.72,4.3,26.99,27.2,7.2,43.95,60.6,80.03,65.83,83.92,55.41,45.9,9.34,74.8,45.75,0,25.68,55.19,10.04,57.25,28.2,56.67,76.45,33.86,30.27,63.2,58.13
Bentham-Regular,37.02,41.31,31.85,50.39,13.99,37.62,88.86,0,62.54,8.4,33.44,4.16,49.24,9.65,7.18,36.35,99.82,93.82,79.03,100,53.91,43.53,9.34,88.85,41.96,0,27.88,26.45,86.13,82.44,27.49,90.58,41.31,41.83,65.91,55.17,44.27
Oldenburg-Regular,37.87,36.45,49.18,70.22,28.91,46.07,83.61,0,71.5,20.02,45.44,7.05,40.17,20.52,7.17,39.77,68.97,91.42,80.06,89.66,69.3,56.73,8.89,84.05,52.55,0,42.49,42.3,83.85,62.14,32.62,79.36,59.64,66.59,51.71,67.86,56.74
SourceCodePro-Light,37.96,22.07,0,5.34,62.09,94.33,86.11,0,34.33,23.75,21.43,4.3,27.62,38.5,7.1,26.55,71.34,67.54,46.31,84.11,23.38,9.37,9.34,58.87,19.05,100,24.01,12.69,10.26,68.76,27.24,89.22,13.8,21.96,95.29,24.98,55.97
GEInspira,31.16,15.86,19.48,34.25,30.86,69.27,89.16,0,52.54,13,13.7,4.3,34.97,26.09,7.05,29.26,70.22,82.88,70.51,87.48,50.48,34.51,9.32,64.59,30.2,0,21.77,10.03,9.65,65.88,25.3,84.77,36.44,19.24,75.37,58.74,43.24
Philosopher,48.24,33.12,35.86,61.23,13.8,54.3,95.1,0,68.1,16.51,28.91,4.24,44.82,29.33,7.03,30.01,81.39,87.5,74.52,94.86,72.34,46.73,9.36,81.72,39.85,0,42.71,34.32,15.91,86.79,28.34,92.59,44.49,31.74,57.38,59.12,46.05
GillSansStd-Bold,21.16,21.54,68.2,65.36,21.32,40.73,73.27,0,63.11,28.08,22.54,4.3,28.71,13.81,7.01,34.43,74.44,91.3,72.31,87.47,61.67,39.91,9.34,93.46,42.24,0,22.91,40.32,11.35,60.17,17.09,63.12,75.48,42.24,23.75,74.95,52.63
Dosis-Light,29.62,12.66,18.49,23.79,26.7,77.01,96,0,53.28,26.19,10.52,4.3,47.49,20.21,6.99,17.83,79.44,78.15,58.84,90.39,46.53,30.02,9.32,72.91,28.23,0,11.28,11.85,9.9,71.78,25.42,98.2,29.03,18.74,91.74,31.96,35.54
Lekton-Italic,75.55,43.8,19.85,28.54,41.87,59.56,89.07,0,47.74,41.09,31.93,4.23,50.55,46.34,6.99,33.21,50.48,72.77,62.77,87.13,43.91,31.49,91.67,62.66,44,100,37.15,17.2,10.07,69.85,70.47,81.56,26.92,41.19,95.69,34.55,42.38
Muli,27.41,10.61,23.43,43.18,20.83,59.61,89.92,0,52.18,7.98,1.65,4.3,39.73,16.37,6.93,10.45,82.64,91.17,78.71,90.6,55.9,36.96,9.35,89.51,21.97,0,12.11,16.44,9.23,79.75,13.47,86.11,52.4,1.43,57.19,51.7,49.84
SourceSansPro-LightIt,58.27,33.14,19.58,2.23,30.3,71.25,91.42,0,45.01,23.75,27.37,4.23,47.72,27.66,6.92,24.28,62.89,82.42,69.99,92.33,42.4,39.13,91.76,68.81,34.05,0,28.51,0,9.9,72.87,53.48,88.28,22.35,25.68,89.55,41.33,39.09
Oranienbaum-Regular,27.11,36.24,23.42,42.98,14.6,35.55,86.47,0,61.64,15.78,22.82,4.24,53.66,16.54,6.91,28.82,86.07,93.06,76.91,97.12,64.39,47.5,9.36,83.23,39.42,0,22.51,31.45,86.74,86.59,15,82.59,44.8,32.07,72.15,60.08,39.26
Raleway-SemiBold,1.87,22.04,50.82,62.99,16.07,53.87,76.85,0,60.29,15.11,22.18,4.3,33.25,19.26,6.89,30.3,76.34,93.38,76.83,85.73,66.4,44.98,9.35,91.65,37.61,0,17.99,24.25,9.33,74.61,18.79,72.2,63.96,28.43,40.67,85.5,53.45
ARSMaquetteWebOne,13.99,16.92,34,56.37,17.38,62.4,86.27,0,57.9,11.08,4.21,4.3,37.38,9.75,6.76,15.48,80.97,91.4,76.59,88.71,59.45,35.62,9.35,83.06,23.83,0,20.08,15.04,9.06,65.4,17.9,74.87,52.08,30.4,52.1,55.08,53.16
ArialUnicodeMS,7.36,0,32.24,49.27,11.17,61.28,87.73,0,55.24,2.92,4.15,4.3,34.04,12.14,6.76,2.24,85.76,93.43,79.42,88.44,67.31,38.83,9.34,96.57,21.59,0,9.54,23.8,9.73,73.34,8.66,78.54,55.5,5.62,51.05,64.83,51.06
Arimo-Bold,24.37,13.31,60.1,64.77,17.04,50.94,70.3,0,61.67,16,18.56,4.3,28.35,16.86,6.76,28.64,81.34,94.09,75.07,86.36,65.53,41.57,9.34,97.81,35.23,0,17.69,46.79,9.63,54.26,11.46,60.35,73.52,25.11,27.24,72.27,58.04
Cabin-SemiBoldItalic,56.16,33.78,55.5,65.05,18.24,29.96,77.81,0,73.99,18.05,26.17,4.23,41.55,21.46,6.76,37.61,78.01,92.57,81.92,90.46,70.42,56.18,91.73,96.83,54.19,0,31.31,39.29,9.63,66.34,43.5,73.79,61.99,33.31,38.7,70.89,47.1
Calluna-Regular,39.79,25.87,26.64,51.33,7.91,40.88,87.29,0,66.22,8.2,21.57,4.24,49.67,10.79,6.74,25.58,89.24,94.19,84.47,91.35,63.13,40.31,9.35,86.43,39.41,0,20.81,24.7,86.75,89.2,21.27,81.64,47.28,33.9,57.81,49.01,45.4
IM_FELL_French_Canon_Roman,39.81,31.51,40.53,59.89,15.04,43.61,85.04,0,71.47,17.26,30.04,4.74,42.33,21.29,6.66,31.79,88.55,89.97,85.22,90.71,75.32,51.7,9.34,85.56,44.96,0,28.18,20.03,88.02,89.51,17.52,84.51,47.4,42.29,63.38,64.01,50.15
HoeflerText-Regular,33.56,23.51,39.03,54.97,3.15,36.1,83.44,0,72.33,10.73,22.1,4.86,40.26,13.81,6.64,37.02,93.46,89.8,79.94,94.1,75.36,50.88,9.37,91.01,50.94,0,27.47,34.87,87.56,94.86,22.48,78.8,50.01,28.64,61.23,65.86,44.49
Milonga-Regular,32.41,64.18,57.38,73.51,14.59,30.42,80.61,0,80.3,13.06,49.63,4.74,52.57,33,6.64,57.94,67.92,94.4,85.8,93.76,81.23,68.77,9.37,92.41,61.53,0,52.1,48.57,81.83,72.79,61.74,80.62,53.53,64.64,55.96,70.3,53.13
Amethysta-Regular,48.83,21,38.39,47.94,6.71,37.52,86.84,0,70.93,3.24,15.47,4.24,38.63,9.32,6.57,16.6,94.88,94.63,74.32,95.56,78.48,51.92,9.34,94.9,41.64,0,19.82,36.67,85.72,96.53,15.72,80.24,56.19,46.3,51.35,49.21,52.91
Arvo-Bold,27.86,37.03,61.33,70.08,17.66,64.93,57.64,0,63.24,33.13,48.1,4.27,24.51,20.85,6.57,47.39,82.11,86.72,66.83,78.91,61,39.51,9.3,80.32,39.88,0,35.11,48.55,84.11,60.14,20.92,58.21,77,63.83,20.99,82.7,61.1
Enriqueta-Regular,23.98,23.56,45.88,60.54,9.59,38.02,83.52,0,67.74,12.88,25.2,4.3,37.83,14.46,6.57,22.01,94.94,91.55,81.27,93.9,73.39,49.67,9.34,89.39,35.6,0,25.78,20.87,81.71,87.75,17.65,77.13,52.63,43.05,55.33,62.13,52.28
Raleway-Bold,17.72,21.77,59.19,66.89,23.23,61.13,68.49,0,59.81,19.63,26.08,4.3,29.6,25,6.57,35.01,76.61,94.12,78.87,85.52,66.99,53.44,9.35,96.36,36.33,0,29.68,47.66,9.19,50.57,11.73,63.29,72.27,36.34,26.81,74.81,57.64
Simonetta-Black,55.02,64.35,70.02,74.68,29.29,28.6,63.66,0,78.98,43.91,56.29,4.5,40.99,32.87,6.57,58.63,63.03,91.79,78.37,80.07,76.22,60.57,11.2,74.89,64.51,0,52.41,52.83,83.46,58.67,44.76,59.22,70.35,53.56,20.83,91.94,49.04
GillSansStd-BoldItalic,63.53,40.54,62.32,75.99,22.01,23.25,73.87,0,74.6,27.85,35.45,4.23,40.65,22.91,6.49,48.45,57.76,90.15,70.45,87.24,63.89,52.51,91.73,84.35,54.81,0,44.96,41.99,12.02,57.43,50.2,59.88,71.76,43.57,31.22,80.93,50.93
Andada-Bold,36.81,35.15,69.41,73.51,17.85,43.78,68.49,0,68.05,31.2,38.8,4.24,27.38,14.03,6.47,37.8,81.48,88.12,69.16,85.45,70.49,54.23,9.35,90.81,44.37,0,29.96,58.53,85.02,68.08,24.4,50.52,74.5,50.43,20.21,76.73,54.22
Roboto-Black,14.98,22.07,60.17,53.8,23.8,52.33,66.89,0,57.47,24.48,20.64,4.3,25.2,19.02,6.45,28.79,79.64,86.4,63.43,82.8,61.7,42.48,9.34,94.22,27.9,0,13.51,51.01,9.63,63.35,11.68,56.89,77.71,27.45,17.44,81.95,55.52
Merriweather-Bold,38.06,31.97,57.96,72.52,17.28,35.26,66.08,0,69.42,19.25,40.9,4.24,27.58,15.84,6.44,42.42,78.38,89.22,69.12,91.02,70.24,41.24,9.34,96.16,46.06,0,35.22,53.71,88.02,71.92,19.89,54.71,73.45,54.39,32.12,81.57,62.96
Chivo-Italic,49.67,31.61,41.11,55.87,19.82,37.9,83.39,0,63.97,25.97,26.5,4.23,47.66,24.87,6.36,34.04,77.98,91.67,80.66,91.59,72.53,65.65,91.73,91.22,44.86,0,29.82,44.7,9.77,77.12,46.38,74.9,52.32,30.49,51.99,71.5,53.01
Roboto-MediumItalic,55.15,33.6,56.53,64.29,17.7,29.88,77.69,0,71.88,15.36,24.46,4.23,40.76,18.15,6.36,34.36,78.32,92.26,81.54,89.96,74.36,54.3,91.73,96.86,46.81,0,27.12,50.99,9.63,81.81,45.59,72.18,61.65,29.1,40.71,77.91,53.51
TenorSans,28.16,9.93,30.19,44.98,10.41,54.59,93.82,0,62.8,10.41,3.72,4.24,42.02,11.47,6.35,19.81,86.87,93.3,70,90.95,56.2,36.29,9.34,85.9,25.46,0,13.08,9.42,15.77,79.44,21.13,85.5,46.93,8.26,61.61,52.17,49.86
Tinos-Bold,40.04,28.53,58.95,73.77,9.27,31.95,76.11,0,67.32,14.77,29.62,4.24,32.19,6.59,6.35,34.09,86.87,95.86,75.66,91.45,75.17,48.06,9.34,93.55,49.08,0,26.99,54.23,88.02,79.53,13.84,62.82,67.88,47.13,31.59,80.86,47.8
Economica-Italic,72.56,45.13,27.68,36.24,45.27,66.5,81.98,0,62.51,36.69,45.7,4.23,51.21,33.04,6.32,39.89,52.09,70.88,61.35,82.79,41.31,26.85,91.73,60.7,62.96,0,38.85,26.83,8.83,64.45,62.64,87.24,36.47,36.2,74.29,17.98,23.23
